"","X","CampaignURL","numSupporters","TeamOrAthlete","AmountAdjusted","Success","Wordcount","NarcissismFactor","joy","sadness","negative","positive","fear","trust","FundingGoalAdjusted","id","num_rows"
"614",298,"https://sportfunder.com/marikakay/8242",79,"teams",5225,"success",259,18.915,9,3,22,13,1,22,4000,207,43
"615",432,"https://sportfunder.com/uqamcheerleading/1913",146,"teams",15538,"success",121,9.118,1,0,1,2,0,11,10000,300,43
"616",359,"https://sportfunder.com/spiritgymnastics/31922",4,"teams",10160,"success",127,12.233,4,0,3,16,1,11,10000,254,43
"617",16,"https://sportfunder.com/winnipeggeneralstrike/2193",224,"teams",5142,"success",295,28.156,5,1,11,22,3,9,5000,12,43
"618",236,"https://sportfunder.com/rougeetorvolleyballmasculin/6110",202,"teams",12415,"success",54,3.044,2,0,1,5,1,6,10000,163,43
"619",513,"https://sportfunder.com/mariettacollegemensbasketball/26080",50,"teams",6135,"success",198,21.584,7,0,2,12,1,11,6000,356,43
"620",751,"https://sportfunder.com/spectrumathletics/31256",14,"teams",3987.2,"success",118,13.815,1,3,7,6,3,17,2000,531,43
"621",347,"https://sportfunder.com/averybellas_/40603",13,"teams",350,"success",51,4.415,6,0,0,10,0,6,100,246,43
"622",116,"https://sportfunder.com/scotthill/7894",8,"teams",5230,"success",147,11.373,8,0,6,18,2,18,750,80,43
"623",1054,"https://sportfunder.com/mcgillrowing/7",58,"teams",2105,"success",96,4.916,4,6,14,4,0,12,1200,748,43
"624",793,"https://sportfunder.com/keirasnyman/28254",46,"teams",4385,"success",238,22.45,20,0,6,48,4,38,2500,562,43
"625",437,"https://sportfunder.com/coachaj/22982",22,"teams",3038,"success",133,20.592,3,0,3,8,1,14,2500,303,43
"626",888,"https://sportfunder.com/teammileswka/2609",68,"teams",3063,"success",218,14.144,5,0,3,15,0,14,2000,631,43
"627",744,"https://sportfunder.com/spectrumathletics/40325",156,"teams",3770,"success",85,10.88,5,0,1,7,1,7,3000,525,43
"628",54,"https://sportfunder.com/ubcsynchro/15229",22,"teams",1701,"success",140,16.341,9,0,0,13,2,9,1500,38,43
"629",357,"https://sportfunder.com/spiritgymnastics/31223",14,"teams",11922,"success",56,4.415,3,0,0,8,0,3,10000,252,43
"630",137,"https://sportfunder.com/usfwomensclubsoccer/28179",100,"teams",1440,"success",94,15.082,5,1,2,14,0,9,1000,94,43
"631",476,"https://sportfunder.com/swmodiscgolfers/27579",6,"teams",1020,"success",194,12.673,8,0,4,15,0,9,1000,326,43
"632",745,"https://sportfunder.com/spectrumvolleyball/31869",172,"teams",4189,"success",40,0,0,1,2,2,0,4,4000,526,43
"633",1058,"https://sportfunder.com/samgreer/7890",1,"teams",1000,"success",147,11.373,4,0,3,9,1,9,750,749,43
"634",320,"https://sportfunder.com/jonpoteet/27573",94,"teams",1763,"success",119,14.277,2,0,6,11,0,9,1550,224,43
