"","CampaignURL","numSupporters","TeamOrAthlete","AmountAdjusted","Success","Wordcount","NarcissismFactor","joy","sadness","negative","positive","fear","trust"
"199","https://sportfunder.com/juanpablodibangiacoman/31092",0,"teams",0,"fail",49,4.415,3,0,0,4,0,3
"200","https://sportfunder.com/zeffimorales/39407",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"201","https://sportfunder.com/davidmussad/26145",11,"teams",0,"fail",191,15.425,8,1,7,21,5,13
"202","https://sportfunder.com/georgiantennis/27594",0,"teams",0,"fail",74,6.553,4,0,1,7,0,6
"203","https://sportfunder.com/maximustufugafale/31144",0,"teams",0,"fail",220,20.062,6,0,9,15,1,13
"204","https://sportfunder.com/daringjetteam/40326",0,"athletes",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"205","https://sportfunder.com/scoutsoccer/29410",2,"teams",0,"fail",60,5.633,4,0,1,6,0,4
"206","https://sportfunder.com/sparkscheerleading/24429",20,"teams",4005,"fail",182,3.169,NA,NA,NA,NA,NA,NA
"207","https://sportfunder.com/hotcrush/24738",10,"teams",45,"fail",154,5.4,NA,NA,NA,NA,NA,NA
"208","https://sportfunder.com/marcstgermain/20493",8,"teams",85,"fail",275,0.737,NA,NA,NA,NA,NA,NA
"209","https://sportfunder.com/pridecheer/30967",0,"teams",0,"fail",76,10.721,4,0,0,8,0,7
"210","https://sportfunder.com/patrick/19621",0,"teams",0,"fail",129,13.461,5,0,1,6,1,4
"211","https://sportfunder.com/betancourt/28064",4,"teams",500,"fail",236,17.088,15,2,4,25,1,26
"212","https://sportfunder.com/teamforca/21845",0,"teams",0,"fail",206,29.624,9,3,7,16,8,11
"213","https://sportfunder.com/___/28311",0,"teams",0,"fail",111,19.301,5,1,3,12,0,15
"214","https://sportfunder.com/tomgandy/30879",24,"teams",2346.138,"fail",161,11.339,5,1,3,13,2,7
"215","https://sportfunder.com/pamphiliballers/27524",16,"teams",49.675,"fail",188,0,NA,NA,NA,NA,NA,NA
"216","https://sportfunder.com/bucharestathleticsassociation/29537",0,"teams",0,"fail",127,7.863,9,1,1,12,1,13
"217","https://sportfunder.com/anupvyas/29415",0,"teams",0,"fail",74,3.022,4,0,0,6,0,5
"218","https://sportfunder.com/oceancat/28319",108,"teams",5797.0725,"fail",183,0,NA,NA,NA,NA,NA,NA
"219","https://sportfunder.com/cwp/23784",0,"teams",0,"fail",110,7.934,3,0,2,10,2,7
"220","https://sportfunder.com/kaskafootballclub/31876",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"221","https://sportfunder.com/richmondislanders05b/30873",28,"teams",725,"fail",95,6.972,1,0,1,2,0,6
"222","https://sportfunder.com/richmondsoul/31830",2,"teams",50,"fail",133,10.487,3,0,3,7,1,10
"223","https://sportfunder.com/dynastybasketball/40224",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"224","https://sportfunder.com/aigars/31333",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"225","https://sportfunder.com/klavsezerins/31824",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"226","https://sportfunder.com/nwvalorvolleyballclub/40567",NA,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"227","https://sportfunder.com/readingbrazilianjiujitsu/19997",0,"teams",0,"fail",53,2.72,2,0,1,4,1,5
"228","https://sportfunder.com/dnaracingteam/29530",0,"teams",0,"fail",129,11.105,4,0,3,8,1,15
"229","https://sportfunder.com/khiladis/30936",0,"teams",0,"fail",77,1.84,4,1,3,4,0,5
"230","https://sportfunder.com/koracooper/28074",0,"teams",0,"fail",95,6.841,6,0,2,8,1,7
"231","https://sportfunder.com/centralohioflamessoftball/29315",0,"teams",0,"fail",52,7.745,NA,NA,4,1,1,5
"232","https://sportfunder.com/upstreetdanceclub/25353",12,"teams",360,"fail",147,15.4,10,0,3,16,2,15
"233","https://sportfunder.com/lmnphilippines/25734",2,"teams",0,"fail",156,24.024,9,0,1,15,0,16
"234","https://sportfunder.com/trysportsph/27740",0,"teams",0,"fail",159,16.816,10,0,2,17,3,19
"235","https://sportfunder.com/barbora/31323",0,"athletes",0,"fail",65,2.394,2,0,2,3,1,1
"236","https://sportfunder.com/rougeetorvolleyballmasculin/6110",202,"teams",12415,"success",54,3.044,2,0,1,5,1,6
"237","https://sportfunder.com/teamcanadadance/10482",20,"teams",200,"fail",146,23.455,11,1,3,15,1,19
"238","https://sportfunder.com/slclions/23244",0,"teams",0,"fail",128,7.908,6,1,3,12,1,10
"239","https://sportfunder.com/equipedevoiledescadets/7346",36,"teams",505,"fail",256,3.169,NA,NA,NA,NA,NA,NA
"240","https://sportfunder.com/clubessorlimoilou/22860",34,"teams",6604.11,"success",233,3.169,NA,NA,NA,NA,NA,NA
"241","https://sportfunder.com/phoenixcheerleading/17425",58,"teams",408.05,"fail",263,1.474,NA,NA,NA,NA,NA,NA
"242","https://sportfunder.com/marathondenorah/25701",6,"teams",35,"fail",147,0,NA,NA,NA,NA,NA,NA
"243","https://sportfunder.com/risingphx/3433",14,"teams",95,"fail",52,0,NA,NA,NA,NA,NA,NA
"244","https://sportfunder.com/aamir/28313",0,"teams",0,"fail",88,11.214,3,0,1,9,2,4
"245","https://sportfunder.com/parvandhkrishnan/31140",0,"teams",0,"fail",49,4.415,3,0,0,4,0,3
"246","https://sportfunder.com/brunou14girls/28059",26,"teams",250,"fail",93,12.452,4,0,2,5,3,9
"247","https://sportfunder.com/princetonbasketballclub/25922",2,"teams",100,"fail",108,7.674,3,0,1,8,0,12
"248","https://sportfunder.com/pgjudoclub/20757",10,"teams",450,"fail",68,8.882,3,0,0,7,0,8
"249","https://sportfunder.com/pgjudoclub/5122",16,"teams",231,"fail",70,3.313,1,0,0,4,0,1
"250","https://sportfunder.com/judopei/23753",0,"teams",40,"fail",135,9.587,5,0,4,8,1,16
"251","https://sportfunder.com/tsg/22993",0,"teams",0,"fail",125,12.07,4,1,3,21,2,15
"252","https://sportfunder.com/collinkanyimo/31553",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"253","https://sportfunder.com/balega/31786",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"254","https://sportfunder.com/2runners/10014",2,"teams",0,"fail",133,11.83,6,0,1,7,0,5
"255","https://sportfunder.com/avagault/31008",0,"teams",0,"fail",46,4.415,3,0,0,4,0,3
"256","https://sportfunder.com/jenniferumberger/40261",1,"teams",125,"fail",57,3.688,2,0,0,7,0,2
"257","https://sportfunder.com/schuylkillymcagymnastics/40136",16,"teams",5384.5,"success",130,11.333,5,0,3,14,1,11
"258","https://sportfunder.com/brunomarinho/40346",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"259","https://sportfunder.com/charliegran/27896",0,"teams",0,"fail",70,10.426,2,0,2,5,1,5
"260","https://sportfunder.com/theuntouchablestouchrugby/40336",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
